資源名稱,資源類型,地點,服務內容,電話,網址
"臺南市私立融園老人長期照顧中心(養護型)","1966 長照服務","台南市官田區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-5793333",""
"臺南市私立長和老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2552551",""
"財團法人台灣省私立高雄仁愛之家","1966 長照服務","高雄市大寮區","私立老人福利機構，收容對象：安養 養護，核定床數 398 床","07-7037380",""
"高雄市私立和信老人長期照顧中心 (養護型)","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-7220726",""
"高雄市私立親親老人長期照顧中心（養護型）","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-7220251",""
"高雄市私立安和老人長期照顧中心（養護型）","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-7226456",""
"高雄市私立安仁老人長期照顧中心(養護型)","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-7226456",""
"高雄市私立合信老人長期照顧中心（養護型）","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 36 床","07-7220726",""
"高雄市私立溫心養護中心","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-3339696",""
"高雄市私立耀群老人長期照顧中心(養護型)","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-7171168",""
"高雄市私立雙喜老人長期照顧中心（養護型）","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-7224765",""
"高雄市私立幸福一家老人長期照顧中心（養護型）","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-8157277",""
"高雄市私立心橋老人長期照顧中心（養護型）","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 39 床","07-7224765",""
"高雄市私立全人老人長期照顧中心(養護型)","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 31 床","07-7617665",""
"高雄市私立上和老人長期照顧中心(養護型)","1966 長照服務","高雄市前鎮區","私立老人福利機構，收容對象：養護，核定床數 38 床","07-8127575",""
"高雄市私立瑞翁老人長期照顧中心(養護型)","1966 長照服務","高雄市小港區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-8038600",""
"高雄市私立人愛養護之家","1966 長照服務","高雄市小港區","私立老人福利機構，收容對象：養護，核定床數 44 床","07-8913131",""
"高雄市私立祐安養護中心","1966 長照服務","高雄市小港區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-8036565",""
"高雄市私立祥和養護中心","1966 長照服務","高雄市小港區","私立老人福利機構，收容對象：養護，核定床數 43 床","07-8063516",""
"高雄市私立傳祐老人長期照顧中心(養護型)","1966 長照服務","高雄市小港區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-8071593",""
"高雄市私立康庭老人長期照顧中心(養護型)","1966 長照服務","高雄市小港區","私立老人福利機構，收容對象：養護，核定床數 40 床","07-8913966",""
"高雄市私立中安崇恩老人長期照顧中心(養護型)","1966 長照服務","高雄市小港區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-7915106",""
"信義醫療財團法人附設高雄市私立方舟養護之家","1966 長照服務","高雄市苓雅區","私立老人福利機構，收容對象：養護，核定床數 86 床","07-3321111",""
"高雄市私立吉翁養護之家","1966 長照服務","高雄市苓雅區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-7470522",""
"高雄市私立新立養護中心","1966 長照服務","高雄市苓雅區","私立老人福利機構，收容對象：養護，核定床數 37 床","07-3301000",""
"高雄市私立芳園老人長期照顧中心(養護型)","1966 長照服務","高雄市苓雅區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-7470306",""
"高雄市私立好順心老人長期照顧中心(養護型)","1966 長照服務","高雄市苓雅區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-7166177",""
"高雄市私立順心老人長期照顧中心(養護型)","1966 長照服務","高雄市苓雅區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-7165977",""
"高雄市私立大順老人長期照顧中心（養護型）","1966 長照服務","高雄市前金區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-2015501",""
"高雄市私立健生老人養護中心","1966 長照服務","高雄市前金區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-2614912",""
"高雄市私立安安養護之家","1966 長照服務","高雄市前金區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-2412956",""
"高雄市私立孝升老人長期照顧中心(養護型)","1966 長照服務","高雄市前金區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-2723067",""
"高雄市私立新松柏養護之家","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 43 床","07-3229507",""
"高雄市私立富華養護中心","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-3161076",""
"高雄市私立慈融老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 42 床","07-3223278",""
"高雄市私立德安養護之家","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-3121010",""
"高雄市私立天誠老人養護中心","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-3125009",""
"高雄市私立高生老人養護中心","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 30 床","07-3138636",""
"高雄市私立和興老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-3871285",""
"高雄市私立佛心老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-3873677",""
"高雄市私立安心老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 38 床","07-2223077",""
"高雄市私立永康老人養護中心","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 40 床","07-2388603",""
"高雄市私立大昌老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 36 床","07-3835495",""
"高雄市私立仁祥養護之家","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-3973255",""
"高雄市私立信心養護中心","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-3137999",""
"高雄市私立立昌老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 31 床","07-3835495",""
"高雄市私立昭和養護之家","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 40 床","07-3222749",""
"高雄市私立善之老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 32 床","07-3228986",""
"高雄市私立普祐老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 37 床","07-3232938",""
"高雄市私立安泰老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-3907789",""
"高雄市私立安大老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-3978666",""
"高雄市私立珍心老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 40 床","07-3806101",""
"高雄市私立新珍心老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 42 床","07-3806101",""
"高雄市私立信心好老人長期照顧中心(養護型)","1966 長照服務","高雄市三民區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-3137999",""
"財團法人高雄市私立濟眾老人養護中心","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護，核定床數 138 床","07-3639437",""
"高雄市私立吉仁養護中心","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護，核定床數 18 床","07-3531408",""
"高雄市私立小護士老人長期照顧中心(養護型)","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護，核定床數 20 床","07-3610037",""
"高雄市私立怡泉老人長期照顧中心（養護型）","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護，核定床數 30 床","07-3685535",""
"高雄市私立健安老人養護中心","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-3012490",""
"高雄市私立新健安老人養護中心","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護 長期照護，核定床數 47 床","07-3012490",""
"高雄市私立新禾康養護之家","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護，核定床數 31 床","07-3644351",""
"高雄市私立崇恩老人長期照顧中心（養護型）","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-3539619",""
"高雄市私立崇祐老人長期照顧中心（養護型）","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護，核定床數 34 床","07-3516260",""
"高雄市私立德民老人長期照顧中心(養護型)","1966 長照服務","高雄市楠梓區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-3626281",""
"高雄市政府社會局仁愛之家","1966 長照服務","高雄市燕巢區","公立老人福利機構，收容對象：養護 安養，核定床數 424 床","07-6151439",""
"高雄市私立康欣老人長期照顧中心(養護型)","1966 長照服務","高雄市燕巢區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-6141273",""
"財團法人濟興長青基金會附設高雄市私立濟興長青園老人長期照顧中心（長期照護型）","1966 長照服務","高雄市燕巢區","私立老人福利機構，收容對象：長期照護，核定床數 95 床","07-6155548",""
"高雄市私立天恩老人長期照顧中心(養護型)","1966 長照服務","高雄市仁武區","私立老人福利機構，收容對象：養護，核定床數 37 床","07-7334967",""
"高雄市私立雪美老人長期照顧中心（養護型）","1966 長照服務","高雄市仁武區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-3727063",""
"高雄市私立信愛老人養護中心","1966 長照服務","高雄市仁武區","私立老人福利機構，收容對象：養護，核定床數 32 床","07-7353687",""
"高雄市明山慈安居老人養護中心","1966 長照服務","高雄市仁武區","公辦民營老人福利機構，收容對象：養護，核定床數 90 床","07-3722268",""
"高雄市私立大灣家園老人長期照顧中心(養護型)","1966 長照服務","高雄市仁武區","私立老人福利機構，收容對象：養護，核定床數 36 床","07-3746110",""
"高雄市私立鑫安大老人長期照顧中心(養護型)","1966 長照服務","高雄市仁武區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-3736369",""
"高雄市私立鑫安泰老人長期照顧中心(養護型)","1966 長照服務","高雄市仁武區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-3736635",""
"高雄市私立橋頭老人養護中心","1966 長照服務","高雄市橋頭區","私立老人福利機構，收容對象：養護，核定床數 30 床","07-6128510",""
"高雄市私立泰和老人養護中心","1966 長照服務","高雄市橋頭區","私立老人福利機構，收容對象：養護，核定床數 43 床","07-6111128",""
"高雄市私立橋頭社區老人養護中心","1966 長照服務","高雄市橋頭區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-6111108",""
"高雄市私立萬冠老人長期照顧中心（養護型）","1966 長照服務","高雄市橋頭區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-6130032",""
"高雄市私立菩心老人長期照顧中心（養護型）","1966 長照服務","高雄市大社區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-3561393",""
"高雄市私立安康養護之家","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 44 床","07-3461008",""
"高雄市私立新吉祥養護之家","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 45 床","07-3422435",""
"高雄市私立新如意老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 38 床","07-3101731",""
"高雄市私立同心老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-3101122",""
"高雄市私立長群老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 28 床","07-3427181",""
"高雄市私立慈祐老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 37 床","07-5889035",""
"高雄市私立日光樂家老人長期照顧中心（養護型）","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 41 床","07-3482999",""
"高雄市私立偉恩老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-3508037",""
"高雄市私立福心老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 38 床","07-5818877",""
"高雄市私立大福心老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 38 床","07-5818877",""
"高雄市私立小福心老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-5818877",""
"高雄市私立冠仁老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-3411265",""
"高雄市私立睿祥老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 43 床","07-5880101",""
"高雄市私立日賀老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 40 床","07-3482999",""
"高雄市私立睿城老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-5880197",""
"高雄市私立容安老人長期照顧中心(養護型)","1966 長照服務","高雄市左營區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-3501247",""
"高雄市私立文宗老人長期照顧中心（養護型）","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 42 床","07-5530506",""
"高雄市私立華榮養護中心","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-5535111",""
"高雄市私立欣榮總養護中心","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 44 床","07-5818501",""
"高雄市私立榮恩老人長期照顧中心(養護型)","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 31 床","07-5818501",""
"高雄市私立冠安老人養護中心","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-5523031",""
"高雄市私立孝星老人養護中心","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 32 床","07-5814818",""
"高雄市私立良安老人養護中心","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 42 床","07-5857740",""
"高雄市私立高安老人長期照顧中心(養護型)","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 28 床","07-5523201",""
"高雄市私立永安老人長期照顧中心(養護型)","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 42 床","07-5857740",""
"高雄市私立九如老人長期照顧中心（養護型）","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 45 床","07-5215820",""
"高雄市私立仁心老人長期照顧中心(養護型)","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-5336363",""
"高雄市私立新仁心老人長期照顧中心(養護型)","1966 長照服務","高雄市鼓山區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-5336363",""
"財團法人高雄市私立永安老人養護中心","1966 長照服務","高雄市大寮區","私立老人福利機構，收容對象：養護，核定床數 45 床","07-7881876",""
"財團法人高雄市私立張簡秋風社會福利慈善事業基金會附設高雄市私立松喬老人養護中心","1966 長照服務","高雄市大寮區","私立老人福利機構，收容對象：養護，核定床數 110 床","07-7830789",""
"高雄市私立福安老人養護中心","1966 長照服務","高雄市大寮區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-7816000",""
"高雄市私立慈安老人長期照顧中心（養護型）","1966 長照服務","高雄市大寮區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-7818088",""
"高雄市私立真安老人長期照顧中心(養護型)","1966 長照服務","高雄市大寮區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-7027779",""
"高雄市私立博仁老人長期照顧中心（長期照護型）","1966 長照服務","高雄市大寮區","私立老人福利機構，收容對象：長期照護，核定床數 49 床","07-6518879",""
"高雄市私立成大老人養護中心","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 34 床","07-7663348",""
"高雄市私立文清老人養護中心","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 30 床","07-7801658",""
"高雄市私立康齡老人養護中心","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 44 床","07-7025536",""
"高雄市私立信展老人養護中心","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 45 床","07-7482383",""
"高雄市私立安祥老人長期照顧中心(養護型)","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-7663456",""
"高雄市私立長松老人養護中心","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 22 床","07-7460957",""
"高雄市私立松霖老人長期照顧中心（養護型）","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 36 床","07-7425829",""
"高雄市私立鳳新老人養護中心","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 30 床","07-7663348",""
"高雄市私立真善美老人長期照顧中心（養護型）","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 33 床","07-7482383",""
"高雄市私立青園老人長期照顧中心（養護型）","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-7969090",""
"高雄市私立快樂家族老人長期照顧中心（養護型）","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 40 床","07-7475675",""
"高雄市私立宏亞老人長期照顧中心(養護型)","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-8211218",""
"高雄市私立新長松老人長期照顧中心（養護型）","1966 長照服務","高雄市鳳山區","私立老人福利機構，收容對象：養護，核定床數 38 床","07-7409781",""
"高雄市私立親育園老人養護中心","1966 長照服務","高雄市林園區","私立老人福利機構，收容對象：養護，核定床數 43 床","07-6466535",""
"高雄市私立祐德老人長期照顧中心（養護型）","1966 長照服務","高雄市林園區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-6427307",""
"財團法人高雄市私立宏仁老人長期照顧中心（養護型）","1966 長照服務","高雄市鳥松區","私立老人福利機構，收容對象：養護，核定床數 60 床","07-6512656",""
"高雄市私立圓山老人養護中心","1966 長照服務","高雄市鳥松區","私立老人福利機構，收容對象：養護，核定床數 24 床","07-3709676",""
"高雄市私立慈善園老人養護中心","1966 長照服務","高雄市鳥松區","私立老人福利機構，收容對象：養護，核定床數 44 床","07-7334113",""
"高雄市私立健康老人長期照顧中心（養護型)","1966 長照服務","高雄市鳥松區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-7321129",""
"高雄市私立大同老人長期照顧中心（養護型）","1966 長照服務","高雄市鳥松區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-7336188",""
"高雄市私立欣緣老人長期照顧中心（養護型）","1966 長照服務","高雄市鳥松區","私立老人福利機構，收容對象：養護，核定床數 43 床","07-7313030",""
"高雄市私立千葉老人長期照顧中心(養護型)","1966 長照服務","高雄市大樹區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-6565119",""
"高雄市私立新樂園老人長期照顧中心（養護型）","1966 長照服務","高雄市大樹區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-6565119",""
"高雄市私立欣家老人長期照顧中心(養護型)","1966 長照服務","高雄市大樹區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-6521155",""
"財團法人高雄市私立萃文書院社會福利慈善事業基金會附設萃文佛恩養護院","1966 長照服務","高雄市內門區","私立老人福利機構，收容對象：養護，核定床數 180 床","07-6672888",""
"高雄市私立博愛老人長期照顧中心（養護型）","1966 長照服務","高雄市岡山區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-6251515",""
"財團法人高雄市私立淨覺社會福利基金會附設高雄市私立淨覺老人養護中心","1966 長照服務","高雄市阿蓮區","私立老人福利機構，收容對象：養護，核定床數 132 床","07-6333720",""
"高雄市私立愛欣老人養護中心","1966 長照服務","高雄市美濃區","私立老人福利機構，收容對象：養護，核定床數 34 床","07-6813958",""
"高雄市私立吉園老人養護中心","1966 長照服務","高雄市美濃區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-6832379",""
"高雄市私立新效堂老人養護中心","1966 長照服務","高雄市美濃區","私立老人福利機構，收容對象：養護，核定床數 21 床","07-6850588",""
"高雄市私立惠心老人養護之家","1966 長照服務","高雄市美濃區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-6850826",""
"財團法人高雄市私立愛心老人養護中心","1966 長照服務","高雄市美濃區","私立老人福利機構，收容對象：養護，核定床數 99 床","07-6813958",""
"財團法人高雄市私立日新老人長期照顧中心（養護型）","1966 長照服務","高雄市美濃區","私立老人福利機構，收容對象：養護，核定床數 83 床","07-6815800",""
"高雄市私立康乃心老人長期照顧中心(養護型)","1966 長照服務","高雄市美濃區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-6822033",""
"高雄市私立怡園老人養護中心","1966 長照服務","高雄市湖內區","私立老人福利機構，收容對象：養護，核定床數 39 床","07-6935989",""
"高雄市私立湖內老人養護之家","1966 長照服務","高雄市湖內區","私立老人福利機構，收容對象：養護，核定床數 47 床","07-6990472",""
"高雄市私立慈慧老人長期照顧中心（養護型）","1966 長照服務","高雄市湖內區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-6938505",""
"高雄市私立永新老人長期照顧中心(養護型)","1966 長照服務","高雄市路竹區","私立老人福利機構，收容對象：養護，核定床數 48 床","07-6961085",""
"高雄市私立快樂家園老人長期照顧中心（養護型）","1966 長照服務","高雄市路竹區","私立老人福利機構，收容對象：養護，核定床數 46 床","07-6960460",""
"財團法人高雄市私立聖和社會福利慈善事業基金會附設高雄市私立聖和老人長期照顧中心（養護型）","1966 長照服務","高雄市路竹區","私立老人福利機構，收容對象：養護，核定床數 200 床","07-6071466",""
"高雄市私立慈心老人養護中心","1966 長照服務","高雄市旗山區","私立老人福利機構，收容對象：養護，核定床數 40 床","07-6613077",""
"財團法人高雄市私立合信興老人養護中心","1966 長照服務","高雄市旗山區","私立老人福利機構，收容對象：養護，核定床數 81 床","07-6661236",""
"財團法人高雄市私立寶光建德社會福利慈善事業基金會附設高雄市私立彌勒家園老人長期照顧中心(養護型)","1966 長照服務","高雄市六龜區","私立老人福利機構，收容對象：養護，核定床數 156 床","07-6871708",""
"高雄市私立宏鑫老人長期照顧中心（養護型）","1966 長照服務","高雄市梓官區","私立老人福利機構，收容對象：養護，核定床數 49 床","07-6103630",""
